waypoint class initialized
waypoint class initialized
next 6771.13 5400.96
pose 6771.14 5401.34
next 6771.12 5400.44
pose 6771.13 5401.19
next 6771.12 5400.44
pose 6771.13 5401.19
next 6771.12 5400.44
pose 6771.12 5400.88
next 6771.12 5400.44
pose 6771.12 5400.88
next 6771.12 5400.44
pose 6771.13 5400.72
next 6771.12 5400.44
pose 6771.13 5400.57
next 6771.12 5400.44
pose 6771.13 5400.25
next 6771.14 5399.3
pose 6771.11 5400.1
next 6771.12 5399.19
pose 6771.08 5399.96
next 6771.1 5399.08
pose 6771.03 5399.82
next 6771.06 5398.97
pose 6770.99 5399.6
next 6771.03 5398.81
pose 6770.99 5399.6
next 6771.03 5398.81
pose 6771.01 5399.37
next 6771.05 5398.64
pose 6771.01 5399.37
next 6771.05 5398.64
pose 6771.04 5399.07
next 6771.07 5398.41
pose 6771.04 5398.92
next 6771.07 5398.3
pose 6771.04 5398.76
next 6771.07 5398.18
pose 6771.05 5398.61
next 6771.07 5398.07
pose 6771.05 5398.61
next 6771.07 5398.07
pose 6771.06 5398.3
next 6771.1 5397.37
pose 6771.06 5398.3
next 6771.1 5397.37
pose 6771.07 5397.99
next 6771.11 5397.21
pose 6771.09 5397.84
next 6771.12 5397.14
pose 6771.09 5397.84
next 6771.12 5397.14
pose 6771.12 5397.53
next 6771.13 5396.98
pose 6771.12 5397.37
next 6771.15 5396.44
pose 6771.13 5397.21
next 6771.15 5396.44
pose 6771.13 5397.06
next 6771.15 5396.44
pose 6771.13 5397.06
next 6771.15 5396.44
pose 6771.13 5396.74
next 6771.15 5396.44
pose 6771.14 5396.58
next 6771.15 5396.44
pose 6771.14 5396.58
next 6771.15 5396.44
pose 6771.17 5396.19
next 6771.17 5395.25
pose 6771.18 5396.11
next 6771.18 5395.19
pose 6771.18 5396.11
next 6771.18 5395.19
pose 6771.21 5395.96
next 6771.21 5395.08
pose 6771.21 5395.57
next 6771.21 5394.79
pose 6771.21 5395.57
next 6771.21 5394.79
pose 6771.21 5395.34
next 6771.21 5394.61
pose 6771.21 5395.34
next 6771.21 5394.61
pose 6771.21 5395.1
next 6771.21 5394.44
pose 6771.22 5394.87
next 6771.21 5394.26
pose 6771.22 5394.87
next 6771.21 5394.26
pose 6771.22 5394.55
next 6771.21 5394.02
pose 6771.22 5394.39
next 6771.2 5393.42
pose 6771.21 5394.24
next 6771.2 5393.34
pose 6771.21 5394.24
next 6771.2 5393.34
pose 6771.21 5394.08
next 6771.2 5393.26
pose 6771.2 5393.92
next 6771.19 5393.18
pose 6771.2 5393.52
next 6771.2 5392.98
pose 6771.2 5393.52
next 6771.2 5392.98
pose 6771.21 5393.28
next 6771.19 5392.44
pose 6771.21 5393.28
next 6771.19 5392.44
pose 6771.21 5393.12
next 6771.19 5392.44
pose 6771.19 5392.8
next 6771.19 5392.44
pose 6771.19 5392.64
next 6771.19 5392.44
pose 6771.19 5392.48
next 6771.19 5392.44
pose 6771.19 5392.32
next 6771.2 5391.35
pose 6771.19 5392.16
next 6771.2 5391.23
pose 6771.19 5392.16
next 6771.2 5391.23
pose 6771.17 5392
next 6771.18 5391.11
pose 6771.14 5391.69
next 6771.16 5390.88
pose 6771.14 5391.53
next 6771.16 5390.76
pose 6771.15 5391.38
next 6771.17 5390.64
pose 6771.16 5391.22
next 6771.18 5390.52
pose 6771.16 5391.22
next 6771.18 5390.52
pose 6771.17 5390.9
next 6771.18 5390.28
pose 6771.17 5390.9
next 6771.18 5390.28
pose 6771.17 5390.74
next 6771.19 5390.16
pose 6771.17 5390.58
next 6771.19 5390.04
pose 6771.18 5390.34
next 6771.2 5389.39
pose 6771.18 5390.26
next 6771.2 5389.35
pose 6771.19 5390.1
next 6771.2 5389.27
pose 6771.19 5390.02
next 6771.21 5389.23
pose 6771.2 5389.78
next 6771.21 5389.11
pose 6771.19 5389.62
next 6771.2 5389.03
pose 6771.19 5389.3
next 6771.22 5388.44
pose 6771.2 5389.14
next 6771.22 5388.44
pose 6771.21 5388.98
next 6771.22 5388.44
pose 6771.21 5388.98
next 6771.22 5388.44
pose 6771.22 5388.66
next 6771.22 5388.44
pose 6771.22 5388.5
next 6771.22 5388.44
pose 6771.22 5388.34
next 6771.23 5387.36
pose 6771.22 5388.34
next 6771.23 5387.36
pose 6771.23 5388.18
next 6771.24 5387.24
pose 6771.3 5387.87
next 6771.29 5387.01
pose 6771.3 5387.87
next 6771.29 5387.01
pose 6771.31 5387.72
next 6771.3 5386.9
pose 6771.31 5387.56
next 6771.3 5386.78
pose 6771.31 5387.41
next 6771.3 5386.66
pose 6771.3 5387.25
next 6771.29 5386.55
pose 6771.3 5387.09
next 6771.29 5386.43
pose 6771.31 5386.69
next 6771.29 5386.13
pose 6771.31 5386.62
next 6771.29 5386.07
pose 6771.31 5386.54
next 6771.29 5386.01
pose 6771.3 5386.3
next 6771.28 5385.37
pose 6771.3 5386.3
next 6771.28 5385.37
pose 6771.3 5386.14
next 6771.28 5385.29
pose 6771.3 5385.98
next 6771.28 5385.21
pose 6771.29 5385.82
next 6771.27 5385.13
pose 6771.29 5385.66
next 6771.27 5385.05
pose 6771.29 5385.34
next 6771.26 5384.44
pose 6771.29 5385.18
next 6771.26 5384.44
pose 6771.28 5385.01
next 6771.26 5384.44
pose 6771.28 5385.01
next 6771.26 5384.44
pose 6771.27 5384.85
next 6771.26 5384.44
pose 6771.25 5384.45
next 6771.26 5384.44
pose 6771.25 5384.45
next 6771.26 5384.44
pose 6771.26 5384.21
next 6771.27 5383.27
pose 6771.28 5384.06
next 6771.28 5383.15
pose 6771.28 5384.06
next 6771.28 5383.15
