Transform(Location(x=6860.666992, y=5225.228516, z=181.002167), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6862.666992, y=5225.235840, z=181.033798), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6864.666992, y=5225.243164, z=181.065414), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6866.666992, y=5225.250488, z=181.097046), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6868.666992, y=5225.257812, z=181.128662), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6870.666992, y=5225.265137, z=181.160263), Rotation(pitch=0.904505, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6872.666992, y=5225.272461, z=181.191803), Rotation(pitch=0.902658, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6874.666992, y=5225.279785, z=181.223282), Rotation(pitch=0.900811, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6876.666992, y=5225.287109, z=181.254700), Rotation(pitch=0.898963, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6878.666992, y=5225.294434, z=181.286041), Rotation(pitch=0.897116, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6880.666992, y=5225.301758, z=181.317322), Rotation(pitch=0.895269, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6882.666992, y=5225.309082, z=181.348541), Rotation(pitch=0.893422, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6884.666992, y=5225.316406, z=181.379700), Rotation(pitch=0.891575, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6886.666992, y=5225.323730, z=181.410782), Rotation(pitch=0.889728, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6888.666992, y=5225.331055, z=181.441818), Rotation(pitch=0.887881, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6890.666504, y=5225.338379, z=181.472778), Rotation(pitch=0.886034, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6892.666504, y=5225.345703, z=181.503677), Rotation(pitch=0.884186, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6894.666504, y=5225.353027, z=181.534515), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6896.666504, y=5225.360352, z=181.565369), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6898.666504, y=5225.367676, z=181.596207), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6900.666504, y=5225.375000, z=181.627060), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6902.666504, y=5225.382324, z=181.657913), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6904.666504, y=5225.389648, z=181.688751), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6906.666504, y=5225.396973, z=181.719604), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6908.666504, y=5225.404297, z=181.750443), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6910.666504, y=5225.411621, z=181.781296), Rotation(pitch=0.883698, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6912.666504, y=5225.418945, z=181.812134), Rotation(pitch=0.883430, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6914.666504, y=5225.426270, z=181.842957), Rotation(pitch=0.882381, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6916.666504, y=5225.433594, z=181.873749), Rotation(pitch=0.881333, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6918.666504, y=5225.440918, z=181.904495), Rotation(pitch=0.880285, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6920.666504, y=5225.448242, z=181.935196), Rotation(pitch=0.879236, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6922.666504, y=5225.455566, z=181.965866), Rotation(pitch=0.878188, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6924.666504, y=5225.462891, z=181.996506), Rotation(pitch=0.877140, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6926.666504, y=5225.470215, z=182.027100), Rotation(pitch=0.876092, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6928.666504, y=5225.477539, z=182.057663), Rotation(pitch=0.875043, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6930.666504, y=5225.484863, z=182.088196), Rotation(pitch=0.873995, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6932.666504, y=5225.492188, z=182.118683), Rotation(pitch=0.872947, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6934.666504, y=5225.499512, z=182.149139), Rotation(pitch=0.871899, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6936.666504, y=5225.506836, z=182.179550), Rotation(pitch=0.870850, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6938.666504, y=5225.514160, z=182.209930), Rotation(pitch=0.869802, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6940.666504, y=5225.521484, z=182.240280), Rotation(pitch=0.868754, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6942.666504, y=5225.528809, z=182.270584), Rotation(pitch=0.867705, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6944.666504, y=5225.536133, z=182.300858), Rotation(pitch=0.866657, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6946.666504, y=5225.543457, z=182.331085), Rotation(pitch=0.865609, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6948.666504, y=5225.550781, z=182.361282), Rotation(pitch=0.864561, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6950.666504, y=5225.558105, z=182.391449), Rotation(pitch=0.864063, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6952.666504, y=5225.565430, z=182.421616), Rotation(pitch=0.864063, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6954.666504, y=5225.572754, z=182.451782), Rotation(pitch=0.864063, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6956.666504, y=5225.580078, z=182.481934), Rotation(pitch=0.864063, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6958.666504, y=5225.587402, z=182.512100), Rotation(pitch=0.864063, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6960.666504, y=5225.594727, z=182.542252), Rotation(pitch=0.863643, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6962.666504, y=5225.602051, z=182.572372), Rotation(pitch=0.861969, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6964.666504, y=5225.609375, z=182.602432), Rotation(pitch=0.860296, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6967.666016, y=5225.620605, z=182.647415), Rotation(pitch=0.857785, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6969.666016, y=5225.627930, z=182.677322), Rotation(pitch=0.856112, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6971.666016, y=5225.635254, z=182.707184), Rotation(pitch=0.854438, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6973.666016, y=5225.642578, z=182.736984), Rotation(pitch=0.852765, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6975.666016, y=5225.649902, z=182.766724), Rotation(pitch=0.851091, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6977.666016, y=5225.657227, z=182.796402), Rotation(pitch=0.849417, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6979.666016, y=5225.664551, z=182.826019), Rotation(pitch=0.847744, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6981.666016, y=5225.671875, z=182.855576), Rotation(pitch=0.846070, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6983.666016, y=5225.679199, z=182.885086), Rotation(pitch=0.844397, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6985.666016, y=5225.686523, z=182.914536), Rotation(pitch=0.842723, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6987.666016, y=5225.693848, z=182.943924), Rotation(pitch=0.841049, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6989.666016, y=5225.701172, z=182.973251), Rotation(pitch=0.839376, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6991.666016, y=5225.708496, z=183.002518), Rotation(pitch=0.837702, yaw=0.209914, roll=0.000000)) 4
